iter	Passed	Remaining
0	2	2752
1	5	2631
2	7	2596
3	10	2546
4	12	2549
5	15	2527
6	17	2510
7	20	2496
8	22	2479
9	24	2463
10	27	2496
11	30	2496
12	32	2481
13	34	2443
14	37	2438
15	39	2448
16	42	2454
17	44	2450
18	47	2454
19	50	2450
20	52	2450
21	55	2454
22	57	2460
23	60	2454
24	62	2445
25	65	2436
26	67	2432
27	70	2434
28	72	2430
29	75	2428
30	77	2423
31	80	2422
32	82	2415
33	85	2415
34	87	2413
35	90	2413
36	92	2407
37	94	2403
38	97	2399
39	100	2400
40	102	2400
41	105	2396
42	107	2393
43	109	2388
44	112	2386
45	115	2388
46	117	2385
47	120	2382
48	122	2380
49	125	2376
50	127	2374
51	130	2374
52	132	2372
53	135	2372
54	137	2368
55	140	2367
56	142	2363
57	145	2366
58	148	2363
59	150	2362
60	153	2359
61	155	2357
62	158	2355
63	160	2353
64	163	2352
65	165	2348
66	168	2345
67	171	2344
68	173	2342
69	176	2341
70	178	2338
71	181	2336
72	183	2333
73	186	2330
74	188	2329
75	191	2330
76	194	2328
77	196	2326
78	199	2324
79	201	2322
80	204	2324
81	207	2320
82	209	2318
83	212	2317
84	215	2314
85	217	2313
86	220	2312
87	222	2310
88	225	2308
89	228	2305
90	230	2303
91	233	2301
92	235	2299
93	238	2298
94	241	2296
95	243	2294
96	246	2291
97	248	2287
98	251	2287
99	253	2285
100	256	2282
101	258	2278
102	261	2276
103	263	2273
104	267	2276
105	269	2273
106	272	2271
107	274	2268
108	277	2266
109	280	2266
110	282	2264
111	285	2261
112	287	2259
113	290	2257
114	292	2254
115	295	2251
116	298	2249
117	300	2247
118	303	2245
119	305	2242
120	308	2240
121	311	2242
122	314	2240
123	316	2238
124	319	2236
125	322	2234
126	324	2234
127	327	2232
128	330	2230
129	332	2228
130	335	2225
131	337	2221
132	340	2219
133	343	2216
134	345	2214
135	348	2211
136	350	2209
137	353	2206
138	355	2204
139	358	2201
140	360	2198
141	363	2197
142	366	2195
143	368	2193
144	371	2192
145	374	2190
146	377	2187
147	379	2185
148	382	2182
149	384	2181
150	387	2178
151	390	2176
152	392	2174
153	395	2172
154	398	2170
155	400	2167
156	403	2164
157	405	2161
158	408	2158
159	410	2155
160	413	2154
161	415	2151
162	418	2148
163	421	2146
164	423	2143
165	426	2140
166	428	2138
167	431	2136
168	434	2134
169	436	2132
170	439	2129
171	441	2126
172	444	2124
173	447	2122
174	449	2120
175	452	2118
176	455	2115
177	457	2113
178	460	2110
179	462	2107
180	465	2104
181	467	2101
182	470	2099
183	472	2097
184	475	2095
185	478	2093
186	480	2090
187	483	2087
188	486	2086
189	488	2083
190	491	2081
191	494	2079
192	496	2076
193	499	2074
194	501	2071
195	504	2069
196	507	2068
197	510	2067
198	513	2064
199	515	2062
200	518	2059
201	520	2057
202	523	2056
203	526	2054
204	529	2052
205	531	2050
206	534	2047
207	537	2046
208	540	2044
209	542	2041
210	545	2038
211	547	2036
212	550	2033
213	553	2032
214	562	2054
215	570	2072
216	577	2084
217	582	2089
218	586	2092
219	590	2094
220	594	2095
221	597	2094
222	600	2093
223	603	2091
224	606	2089
225	609	2087
226	612	2084
227	614	2080
228	617	2077
229	619	2074
230	622	2071
231	625	2069
232	627	2066
233	630	2063
234	632	2060
235	635	2057
236	638	2054
237	640	2051
238	643	2048
239	645	2045
240	648	2041
241	650	2039
242	653	2036
243	656	2033
244	659	2031
245	661	2028
246	664	2025
247	667	2022
248	670	2021
249	672	2018
250	675	2015
251	678	2012
252	680	2009
253	683	2007
254	686	2005
255	688	2002
256	691	1999
257	694	1996
258	696	1993
259	699	1991
260	702	1988
261	704	1985
262	707	1982
263	709	1979
264	712	1975
265	715	1973
266	717	1970
267	720	1967
268	723	1964
269	725	1961
270	728	1959
271	730	1956
272	733	1953
273	735	1950
274	738	1947
275	741	1943
276	743	1940
277	746	1938
278	749	1935
279	751	1932
280	754	1929
281	756	1926
282	759	1924
283	762	1921
284	764	1918
285	767	1916
286	770	1913
287	772	1910
288	775	1908
289	778	1905
290	780	1902
